zero,"ноль"
one,"один"
two,"два"
three,"три"
four,"четыре"
five,"пять"
six,"шесть"
seven,"семь"
eight,"восемь"
nine,"девять"
ten,"десять"
eleven,"одиннадцать"
twelve,"двенадцать"
thirteen,"тринадцать"
fourteen,"четырнадцать"
fifteen,"пятнадцать"
sixteen,"шестнадцать"
seventeen,"семнадцать"
eighteen,"восемнадцать"
nineteen,"девятнадцать"
twenty,"двадцать"
twenty-one,"двадцать один"
thirty,"тридцать"
forty,"сорок"
fifty,"пятьдесят"
sixty,"шестьдесят"
seventy,"семьдесят"
eighty,"восемьдесят"
ninety,"девяносто"
one hundred,"сто"
thousand,"тысяча"
million,"миллион"
billion,"миллиард"
first,"первый"
second,"второй"
third,"третий"
fourth,"четвертый"
fifth,"пятый"
sixth,"шестой"
seventh,"седьмой"
eighth,"восьмой"
ninth,"девятый"
tenth,"десятый"
fraction,"дробь"
one half,"одна вторая"
one third,"одна третья"
one quarter,"одна четвертая"
one eighth,"одна восьмая"
one tenth,"одна десятая"
two thirds,"две третьих"
three quarters,"три четвертых"
